sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,schoolsup,famsup,paid,higher,internet,famrel,G1,G2,default,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,parent_edu_total,parent_edu_gap,grade_avg_12,grade_delta_12,support_total,resource_support_total,access_risk_score,family_stability_score
1,16,0,1,1,4,4,1,1,0,0,1,1,1,3,18,18,0,False,False,False,True,False,False,False,True,8,0,18.0,0,0,1,1,4
0,15,0,1,1,3,4,2,3,0,1,0,1,1,4,12,0,1,False,False,True,False,False,False,False,True,7,1,6.0,12,1,1,2,5
0,15,1,1,1,1,1,3,1,0,1,0,1,1,4,8,0,1,False,False,False,False,False,True,False,False,2,0,4.0,8,1,1,3,5
0,17,1,0,1,2,2,1,1,0,1,0,1,1,3,10,13,0,False,True,False,False,False,True,False,False,4,0,11.5,-3,1,1,1,4
0,16,1,1,0,3,4,1,1,0,0,0,1,1,3,12,11,1,False,False,True,False,False,True,False,False,7,1,11.5,1,0,0,1,3
1,15,0,1,1,3,4,4,2,0,1,0,1,0,5,9,0,1,False,False,False,False,False,False,False,True,7,1,4.5,9,1,1,5,6
0,15,1,1,1,4,4,1,3,0,1,0,1,1,4,11,0,1,False,False,True,False,False,False,False,False,8,0,5.5,11,1,1,1,5
1,17,0,1,1,3,4,3,2,0,0,0,1,0,5,10,0,1,False,False,False,False,False,True,False,False,7,1,5.0,10,0,0,4,6
0,16,1,1,0,3,3,2,1,0,1,0,1,1,4,4,0,1,False,True,False,False,False,True,False,False,6,0,2.0,4,1,1,2,4
1,16,1,0,1,1,1,1,2,0,0,0,1,0,4,14,12,0,False,False,True,False,False,True,False,False,2,0,13.0,2,0,0,2,5
0,15,1,1,1,4,4,2,1,0,0,0,1,1,4,16,16,0,False,False,False,True,False,False,False,True,8,0,16.0,0,0,0,2,5
1,15,1,1,1,4,3,2,4,1,1,0,1,1,2,7,9,1,False,False,False,True,False,False,True,False,7,1,8.0,-2,2,2,2,3
1,16,1,0,1,2,2,2,1,0,1,0,1,1,2,9,9,1,False,False,True,False,False,False,True,False,4,0,9.0,0,1,1,2,3
0,15,1,1,1,4,4,1,3,0,1,1,1,1,4,9,11,0,False,False,False,True,False,False,True,False,8,0,10.0,-2,1,2,1,5
0,16,1,0,1,1,1,1,1,0,0,0,1,1,3,14,14,0,False,False,False,False,False,False,False,False,2,0,14.0,0,0,0,1,4
1,17,1,1,1,2,1,1,1,0,1,0,1,1,5,5,0,1,False,True,False,False,False,True,False,False,3,1,2.5,5,1,1,1,6
0,15,1,1,1,1,1,1,2,0,1,1,1,1,4,8,11,0,False,True,False,False,False,False,True,False,2,0,9.5,-3,1,2,1,5
0,15,1,1,1,3,2,1,2,0,1,0,1,1,3,6,7,1,True,False,False,False,False,False,True,False,5,1,6.5,-1,1,1,1,4
0,15,1,1,1,1,2,1,2,0,1,1,1,1,4,10,11,0,False,False,False,False,False,True,False,False,3,1,10.5,-1,1,2,1,5
1,16,1,1,1,4,4,1,1,0,1,0,0,1,3,7,6,1,False,False,False,True,False,False,False,True,8,0,6.5,1,1,1,1,4
1,15,1,0,0,2,1,4,1,0,0,0,1,1,4,8,9,1,False,False,True,False,False,True,False,False,3,1,8.5,-1,0,0,4,4
1,18,1,0,1,1,1,1,1,0,0,0,0,1,2,6,5,1,False,True,False,False,False,True,False,False,2,0,5.5,1,0,0,1,3
1,16,1,0,1,2,1,1,1,0,0,0,1,0,4,12,13,0,False,False,False,False,False,True,False,False,3,1,12.5,-1,0,0,2,5
0,15,0,1,1,3,3,2,3,0,1,1,1,1,4,10,10,1,False,False,True,False,False,False,True,False,6,0,10.0,0,1,2,2,5
1,19,1,1,1,3,2,1,1,0,1,0,0,1,4,5,0,1,False,False,True,False,False,False,False,False,5,1,2.5,5,1,1,1,5
0,17,1,1,1,4,4,1,1,1,1,0,1,0,4,11,11,0,False,True,False,False,False,False,False,True,8,0,11.0,0,2,2,2,5
1,15,0,1,1,2,3,1,2,1,0,1,1,0,4,11,8,1,False,False,False,False,False,False,True,False,5,1,9.5,3,1,2,2,5
1,17,0,0,1,1,2,1,1,0,0,0,1,0,2,16,12,0,False,True,False,False,False,True,False,False,3,1,14.0,4,0,0,2,3
0,18,0,1,1,1,1,3,1,0,1,0,1,0,5,9,8,1,False,False,False,False,False,True,False,False,2,0,8.5,1,1,1,4,6
1,16,0,1,1,2,2,3,1,0,0,0,1,0,4,17,15,0,False,False,False,False,False,True,False,False,4,0,16.0,2,0,0,4,5
1,16,1,1,1,3,3,1,2,0,1,1,1,1,4,10,12,0,False,True,False,False,False,False,True,False,6,0,11.0,-2,1,2,1,5
1,17,0,0,1,2,1,2,1,0,0,0,0,1,3,7,6,1,False,False,False,False,False,True,False,False,3,1,6.5,1,0,0,2,4
1,15,0,1,1,3,2,2,2,1,1,0,1,1,4,5,9,1,False,True,False,False,False,True,False,False,5,1,7.0,-4,2,2,2,5
1,16,1,0,1,1,2,2,1,0,0,0,1,0,4,7,0,1,False,True,False,False,False,True,False,False,3,1,3.5,7,0,0,3,5
1,17,1,1,1,1,3,1,1,0,0,0,0,1,5,10,10,0,False,False,False,False,False,False,True,False,4,2,10.0,0,0,0,1,6
1,17,0,0,1,1,1,4,2,0,0,0,0,0,5,5,8,1,False,True,False,False,False,False,True,False,2,0,6.5,-3,0,0,5,6
1,16,1,1,1,3,2,2,1,0,1,0,0,0,4,12,11,1,False,False,True,False,False,False,True,False,5,1,11.5,1,1,1,3,5
1,16,1,1,1,2,2,1,2,0,0,0,0,1,4,10,10,0,False,True,False,False,False,True,False,False,4,0,10.0,0,0,0,1,5
0,16,1,1,1,4,2,1,2,0,0,1,1,1,4,14,15,0,True,False,False,False,False,False,True,False,6,2,14.5,-1,0,1,1,5
0,16,1,1,1,2,2,1,2,0,1,1,1,1,5,6,7,1,False,True,False,False,False,True,False,False,4,0,6.5,-1,1,2,1,6
0,16,1,1,1,4,4,1,2,0,1,1,1,1,4,14,14,0,True,False,False,False,True,False,False,False,8,0,14.0,0,1,2,1,5
1,16,1,1,1,3,4,3,1,0,1,0,1,1,3,6,5,1,False,True,False,False,False,True,False,False,7,1,5.5,1,1,1,3,4
1,16,1,1,1,1,0,2,2,0,1,1,1,1,4,13,15,0,False,True,False,False,False,True,False,False,1,1,14.0,-2,1,2,2,5
1,17,1,0,1,4,4,1,2,0,1,1,1,1,4,13,11,0,False,False,False,True,False,True,False,False,8,0,12.0,2,1,2,1,5
0,16,1,1,1,1,3,1,2,0,0,0,1,1,4,8,7,1,False,False,False,False,False,False,True,False,4,2,7.5,1,0,0,1,5
0,16,1,0,1,3,3,2,2,0,1,1,1,1,4,10,11,1,False,True,False,False,False,True,False,False,6,0,10.5,-1,1,2,2,5
1,17,1,0,1,4,3,2,2,0,0,1,1,1,4,10,9,1,False,False,False,True,False,True,False,False,7,1,9.5,1,0,1,2,5
0,16,1,1,1,2,2,2,2,0,0,1,1,1,3,13,13,0,False,False,True,False,False,True,False,False,4,0,13.0,0,0,1,2,4
1,17,1,1,1,3,3,1,2,0,0,0,1,1,4,6,5,1,False,True,False,False,False,True,False,False,6,0,5.5,1,0,0,1,5
1,16,0,1,1,4,2,1,1,0,1,0,1,1,4,10,8,1,False,False,False,True,False,False,True,False,6,2,9.0,2,1,1,1,5
1,17,1,1,1,4,3,1,2,0,1,0,1,1,5,10,10,0,False,True,False,False,False,True,False,False,7,1,10.0,0,1,1,1,6
1,16,1,1,1,4,3,1,2,0,1,1,1,1,3,9,8,1,False,False,False,True,False,True,False,False,7,1,8.5,1,1,2,1,4
1,16,1,1,1,3,3,1,2,0,0,1,1,1,4,12,13,0,False,False,True,False,False,True,False,False,6,0,12.5,-1,0,1,1,5
0,17,1,1,1,2,4,1,2,0,1,0,1,0,5,16,17,0,False,False,True,False,False,False,True,False,6,2,16.5,-1,1,1,2,6
0,17,1,0,1,3,3,1,2,0,1,0,1,1,5,9,9,1,False,True,False,False,False,True,False,False,6,0,9.0,0,1,1,1,6
0,16,1,1,1,3,2,1,2,0,1,1,1,1,1,12,13,0,False,True,False,False,False,True,False,False,5,1,12.5,-1,1,2,1,2
1,17,1,1,1,3,3,1,2,0,1,0,1,1,4,12,12,0,False,False,True,False,False,False,True,False,6,0,12.0,0,1,1,1,5
1,16,1,1,1,1,2,1,1,0,1,1,1,1,3,11,12,0,False,False,True,False,False,False,True,False,3,1,11.5,-1,1,2,1,4
1,16,1,0,1,2,1,1,2,0,0,1,1,1,4,15,15,0,False,True,False,False,False,True,False,False,3,1,15.0,0,0,1,1,5
0,17,1,1,0,3,3,1,2,0,1,0,1,1,3,8,7,1,True,False,False,False,False,True,False,False,6,0,7.5,1,1,1,1,3
1,17,0,1,1,1,2,1,2,0,0,0,1,0,3,8,9,0,False,False,False,False,False,True,False,False,3,1,8.5,-1,0,0,2,4
0,16,1,1,1,2,3,1,2,0,0,0,1,1,4,11,12,0,False,False,True,False,False,False,True,False,5,1,11.5,-1,0,0,1,5
0,17,1,1,1,1,1,1,2,0,0,0,1,1,5,8,8,1,False,False,False,False,False,False,True,False,2,0,8.0,0,0,0,1,6
1,17,1,1,1,1,2,2,2,0,0,1,1,1,4,7,8,1,False,False,False,False,False,False,True,False,3,1,7.5,-1,0,1,2,5
1,16,0,1,1,3,3,1,1,0,1,0,1,1,4,8,9,0,False,False,True,False,False,False,True,False,6,0,8.5,-1,1,1,1,5
1,16,1,1,1,2,3,2,1,0,0,0,1,1,5,13,14,0,False,True,False,False,False,True,False,False,5,1,13.5,-1,0,0,2,6
0,17,1,0,1,2,4,1,2,0,0,0,1,1,4,14,15,0,False,False,True,False,False,False,True,False,6,2,14.5,-1,0,0,1,5
1,17,1,1,1,4,4,1,1,0,0,0,1,1,5,17,15,0,False,False,True,False,False,False,False,True,8,0,16.0,2,0,0,1,6
1,16,0,0,1,3,3,3,1,0,1,1,1,1,3,9,9,0,False,False,False,True,False,True,False,False,6,0,9.0,0,1,2,3,4
0,17,1,1,1,4,4,2,1,0,1,0,1,1,4,18,18,1,False,False,True,False,False,False,False,True,8,0,18.0,0,1,1,2,5
0,16,1,0,1,4,4,1,2,0,1,1,1,1,4,9,9,0,False,False,False,True,False,False,False,True,8,0,9.0,0,1,2,1,5
0,16,1,1,1,4,3,1,2,0,1,0,1,1,4,16,16,0,True,False,False,False,False,True,False,False,7,1,16.0,0,1,1,1,5
0,16,1,1,1,2,3,1,2,1,1,1,1,0,4,8,10,0,False,True,False,False,False,True,False,False,5,1,9.0,-2,2,3,2,5
0,17,1,1,1,1,1,1,2,0,1,1,1,0,4,9,9,0,False,True,False,False,False,True,False,False,2,0,9.0,0,1,2,2,5
0,17,0,1,1,2,2,1,1,0,1,0,1,1,5,7,6,1,False,True,False,False,False,True,False,False,4,0,6.5,1,1,1,1,6
0,16,0,1,1,2,2,2,4,0,1,1,1,1,5,10,10,0,False,False,True,False,False,False,True,False,4,0,10.0,0,1,2,2,6
0,17,1,1,1,3,4,1,3,0,1,1,1,1,4,10,9,1,False,False,False,False,False,False,True,False,7,1,9.5,1,1,2,1,5
0,16,1,1,0,3,1,1,2,0,1,1,1,1,2,7,7,1,False,False,True,False,False,True,False,False,4,2,7.0,0,1,2,1,2
0,16,1,1,1,4,3,1,2,0,0,1,1,1,1,11,12,0,False,False,False,True,False,True,False,False,7,1,11.5,-1,0,1,1,2
0,16,1,1,1,1,1,2,1,0,1,1,1,0,4,9,9,0,False,False,False,False,False,True,False,False,2,0,9.0,0,1,2,3,5
0,17,0,1,1,4,3,2,3,0,1,1,1,1,4,7,7,1,False,False,False,True,False,True,False,False,7,1,7.0,0,1,2,2,5
0,19,1,1,1,3,3,1,4,0,1,1,1,1,4,8,8,1,False,True,False,False,False,True,False,False,6,0,8.0,0,1,2,1,5
1,17,1,0,1,4,4,1,2,0,1,1,1,1,5,12,12,0,False,False,True,False,False,True,False,False,8,0,12.0,0,1,2,1,6
0,16,1,1,0,2,2,1,2,1,1,1,1,1,3,12,13,0,False,True,False,False,False,True,False,False,4,0,12.5,-1,2,3,1,3
1,18,1,1,1,2,2,1,2,0,1,1,1,1,4,6,7,1,False,False,True,False,False,True,False,False,4,0,6.5,-1,1,2,1,5
0,17,0,0,1,4,4,1,1,0,1,1,1,0,5,8,10,0,False,False,True,False,False,True,False,False,8,0,9.0,-2,1,2,2,6
0,17,1,0,1,3,2,2,2,0,0,1,1,1,4,14,15,0,False,True,False,False,False,True,False,False,5,1,14.5,-1,0,1,2,5
0,17,1,1,1,4,3,1,2,0,0,1,1,1,3,6,6,1,False,True,False,False,False,True,False,False,7,1,6.0,0,0,1,1,4
1,18,1,0,1,3,3,1,2,0,1,1,1,1,3,6,6,1,False,False,True,False,True,False,False,False,6,0,6.0,0,1,2,1,4
0,17,1,1,1,2,3,2,1,0,1,1,1,0,3,7,7,1,False,False,False,False,False,True,False,False,5,1,7.0,0,1,2,3,4
0,17,1,1,1,2,2,1,3,0,1,1,1,1,4,9,10,0,False,False,False,False,False,False,False,False,4,0,9.5,-1,1,2,1,5
0,17,0,1,1,2,1,2,2,0,1,0,1,1,4,6,6,1,False,False,False,False,False,False,True,False,3,1,6.0,0,1,1,2,5
0,17,1,1,1,1,1,1,3,0,1,0,1,0,4,6,5,1,False,False,False,False,False,True,False,False,2,0,5.5,1,1,1,2,5
0,16,1,1,1,2,3,1,2,1,0,0,1,1,2,16,16,0,False,False,True,False,False,False,False,True,5,1,16.0,0,1,1,1,3
1,18,1,1,1,2,2,2,2,0,1,1,1,1,3,12,13,0,False,True,False,False,False,True,False,False,4,0,12.5,-1,1,2,2,4
0,16,1,1,1,4,4,1,3,0,1,0,1,1,5,13,13,0,False,False,False,True,False,False,True,False,8,0,13.0,0,1,1,1,6
0,18,0,1,1,3,1,1,2,0,0,0,1,1,5,9,8,1,False,True,False,False,False,True,False,False,4,2,8.5,1,0,0,1,6
0,17,1,1,1,3,2,1,2,0,0,0,1,1,5,16,15,0,False,True,False,False,False,True,False,False,5,1,15.5,1,0,0,1,6
1,17,1,0,1,2,3,1,2,0,1,1,1,1,5,12,11,0,False,False,True,False,False,False,True,False,5,1,11.5,1,1,2,1,6
1,18,1,0,1,2,1,4,2,1,1,1,1,1,4,10,8,1,False,False,False,False,False,True,False,False,3,1,9.0,2,2,3,4,5
0,17,1,1,0,2,1,2,3,0,0,0,1,1,3,12,10,0,False,True,False,False,False,True,False,False,3,1,11.0,2,0,0,2,3
0,17,1,0,1,4,3,1,2,0,0,0,1,1,3,13,13,0,True,False,False,False,False,True,False,False,7,1,13.0,0,0,0,1,4
1,17,0,1,1,2,2,2,2,0,1,1,1,1,4,11,11,0,False,True,False,False,False,True,False,False,4,0,11.0,0,1,2,2,5
1,17,1,1,1,4,4,1,2,1,1,0,1,1,4,11,9,1,False,False,False,True,False,False,False,True,8,0,10.0,2,2,2,1,5
1,16,1,1,1,4,4,1,2,0,1,1,1,1,4,14,13,0,True,False,False,False,False,True,False,False,8,0,13.5,1,1,2,1,5
1,16,1,0,1,1,1,2,2,0,1,1,1,1,3,9,7,1,False,True,False,False,False,True,False,False,2,0,8.0,2,1,2,2,4
1,16,1,1,1,3,2,2,3,0,0,0,1,1,5,11,9,0,False,False,False,False,False,True,False,False,5,1,10.0,2,0,0,2,6
1,17,1,0,1,2,2,1,2,0,0,1,1,1,4,14,13,0,False,True,False,False,False,True,False,False,4,0,13.5,1,0,1,1,5
0,16,1,1,1,2,1,1,1,0,0,0,1,1,4,13,12,1,False,True,False,False,False,True,False,False,3,1,12.5,1,0,0,1,5
0,17,0,1,1,2,1,3,2,0,0,0,1,0,2,13,11,0,False,False,False,False,False,False,True,False,3,1,12.0,2,0,0,4,3
1,18,1,1,1,2,2,1,2,0,0,0,0,1,5,7,7,1,False,True,False,False,False,False,True,False,4,0,7.0,0,0,0,1,6
1,17,1,0,1,4,3,2,2,0,0,0,1,1,2,12,12,0,True,False,False,False,False,True,False,False,7,1,12.0,0,0,0,2,3
1,17,0,0,0,4,4,2,2,0,1,1,1,1,3,10,11,0,False,False,False,True,False,True,False,False,8,0,10.5,-1,1,2,2,3
1,16,1,0,1,4,3,1,1,0,0,0,1,1,5,6,0,1,False,False,False,True,False,True,False,False,7,1,3.0,6,0,0,1,6
1,16,1,1,1,4,4,1,1,0,0,0,1,1,5,13,12,0,False,False,True,False,False,False,True,False,8,0,12.5,1,0,0,1,6
0,18,1,1,1,2,1,2,3,0,1,1,1,1,4,7,0,1,False,True,False,False,False,True,False,False,3,1,3.5,7,1,2,2,5
1,16,1,1,1,2,1,3,1,0,0,0,1,1,4,18,18,0,False,True,False,False,False,True,False,False,3,1,18.0,0,0,0,3,5
1,17,1,1,1,2,3,2,1,0,0,0,1,1,5,12,12,0,False,True,False,False,False,True,False,False,5,1,12.0,0,0,0,2,6
1,22,1,1,1,3,1,1,1,0,0,0,0,1,5,6,8,1,False,False,True,False,False,False,True,False,4,2,7.0,-2,0,0,1,6
1,18,0,0,1,3,3,1,2,0,1,0,1,1,4,3,5,1,False,True,False,False,False,False,True,False,6,0,4.0,-2,1,1,1,5
1,16,1,1,1,0,2,1,1,0,0,1,1,1,4,13,15,0,False,True,False,False,False,True,False,False,2,2,14.0,-2,0,1,1,5
1,18,1,1,1,3,2,2,1,0,0,0,0,1,4,6,8,1,False,False,True,False,False,True,False,False,5,1,7.0,-2,0,0,2,5
1,16,1,1,1,3,3,3,2,1,1,0,1,1,5,7,10,0,False,False,False,False,False,True,False,False,6,0,8.5,-3,2,2,3,6
1,18,1,1,1,2,1,1,1,0,0,0,0,1,3,6,9,1,False,False,True,False,False,False,True,False,3,1,7.5,-3,0,0,1,4
1,16,0,1,1,2,1,2,1,0,0,0,1,0,3,8,9,1,False,True,False,False,False,True,False,False,3,1,8.5,-1,0,0,3,4
1,17,0,1,1,2,1,1,1,0,0,0,1,1,4,8,12,0,False,True,False,False,False,True,False,False,3,1,10.0,-4,0,0,1,5
1,17,1,0,1,1,1,2,1,0,1,0,1,1,4,7,9,1,True,False,False,False,False,True,False,False,2,0,8.0,-2,1,1,2,5
0,17,1,0,1,4,2,1,4,0,1,1,1,1,4,14,12,0,False,False,False,True,False,False,True,False,6,2,13.0,2,1,2,1,5
1,19,1,0,0,4,3,1,2,0,1,0,1,1,4,11,11,0,False,False,True,False,False,False,False,False,7,1,11.0,0,1,1,1,4
1,18,1,1,1,2,1,1,2,0,0,0,1,1,5,15,14,0,False,True,False,False,False,True,False,False,3,1,14.5,1,0,0,1,6
0,17,1,0,1,2,2,1,4,0,0,1,1,1,3,10,9,1,False,False,True,False,False,False,True,False,4,0,9.5,1,0,1,1,4
0,18,1,1,1,4,3,1,2,0,1,1,1,1,3,17,18,1,False,False,True,False,False,True,False,False,7,1,17.5,-1,1,2,1,4
1,18,1,1,1,4,3,1,2,0,1,1,1,1,4,8,8,1,False,False,False,True,False,True,False,False,7,1,8.0,0,1,2,1,5
